Specimen No.,Sex,Age,Age Notes,vault_score,orbit_score,Description,Indications,Photos,Notes
267071,M,Middle-Older,extensive antemortem tooth loss; partial closure of some sutures,2,0,Frontal: level 2 porosity extending from bregma about 1.5 inches forward and an inch on either side along the coronal suture. Slight coalescence/vascular impressions. The involved bone seems slightly raised and pillowy/sclerotic.  Parietal: same level 2 involvement as on frontal at superior anterior corner of each parietal (meeting with bregma). Some signs of very well healed level 2 lesions on posterior of both parietals. Occipital: level 2 porosity across squama,scan 2x,yes,
267107,M,Middle,"moderate wear on M3. exposed pulp chamber in LM1, but seems to have been favorin right side due to RM1 carious lesion.",2,0,Zygomatic: level 2 porosity on R anterior surface (left unobservable due to taphonomy). Frontal: well healed level 2 porosity along midline roughly 2 inches out from bregma and an inch in either side along the coronal suture. Parietal: very well remodeled level 2 porosity along sagittal suture. Posterior of skull too weathered for observation,scan 1x,yes,
264543,I,Young-Middle,"Only M1s and L M3 present. Slight wear on M3; M1 wear shows dentin, but has not worn down to complete pulp chamber exposure. All cranial sutures are open.",3,2,"Frontal: bilateral level 1/2 porosity on anterior margin of temporal lines. Level 2 porosity on and above superciliary arch. 2/3 porosity (only slight coalescence) and some vascular tracks. (Level 2 porosity in superior orbits, crossing onto greater wing of sphenoid orbital surface. Level 1 porosity on orbital surface of maxillae and zygomatics)    Zygomatic: Level 2 porosity on anterior and posterior frontal process. Nasals: Level 2 porosity.   Parietal: Impressively symmetrical bilateral porosity, level 2/3 porosity at anterior parietals grading to extreme level 3at posterior, bordered by level 1 porosity along sagittal and occipital sutures. Porosity avoids parietal eminences, except for a line of vascular/trabecular reaction following the superior border of the temporal line.   Occipital: Extreme level 3 covering the squama, bordered by level 1 near sutures. ",scan 2x,yes,"This is the only specimen from Chicama; all others from Pachacamac. I suspect the sex is male, based on large mastoid processes and general robusticity, but nuchal line and brow ridge are unpronounced and sex is not noted in museum records.   I also suspect that this form of PH may not have the same etiology as the less impressive lesions observed on most adult crania. "
266027,I,Young-Middle,all cranial sutures fairly open. M3s not observable; M2 wear does not yet expose dentin,3,0,"Frontal: bilateral level 2 porosity on anterior margin of temporal lines. Level 1 porosity on and above superciliary arch. Bilateral level 3 trabeculated porosity on frontal eminences. (Level 1 porosity in superior orbits)    Parietal: Area of level 3 trabeculated porosity anterior to parietal eminence on right parietal bone; otherwise level 2 covering virtually all of both parietal bones from parietal eminences to midline, along length of sagittal suture. The bone in these areas appears slightly expanded, and a circular sample taken from the right parietal eminence shows expanded diploe and a thinned/perforated outer cortex.     Occipital: well healed level 2 macroporosity on occipital squama.",Scan 2x,yes,
267641,M,Older,Osteophytic lipping at basilar condyles; 2 observable teeth (canine and M1) worn to expose pulp chamber; antermortem loss of most molars and signs of several abscesses; partial closure of some sutures,3,1,"All porosity looks well healed. Frontal: bilateral Level 2 porosity anterior to temporal lines. Level 1 porosity over most of frontal, with level 2 near bregma; some vascular patterning. (slight but healed porosity/vascular patterning in superior orbits) Parietal: well healed evidence of level 3 trabecular porosity bilaterally on anterior superior parietals, grading through 2 to 1 moving posteriorly. Porosity confined to area superior to temporal line and parietal eminences. Occipital: Level 1 porosity across squama.",Scan 2x,yes,Very curious about the scans for this individual.
268028,M,Older,Osteophytic lipping at basilar condyles; extensive antemortem tooth loss,3,0,"Very well healed evidence of level 1/2 porosity bilaterally anterior to temporal lines. Well healed evidence of trabeculated/vascular level 3 porosity along midline above frontal sinus, up to and crossing the coronal suture. Parietal: Well healed evidence of the same level 3 porosity covering all of the parietal bones superior to temporal lines. Occipital: entire squama covered in healed evidence of level 3 porosity. ",Scan 2x?,yes,Dental abnormality - tooth (I1?) embedded in palate; also the cranium is generally kind of… lumpy?
267200,M,Middle,"Slight dentin exposure on M2s, antermortem loss of all anterior dentition through M1s; all sutures open; no sign of condylar degeneration",2,2,"Frontal: (Level 2 porosity on superior orbits) level 2 porosity near bregma in the same pattern as 266148, crossing coronal suture. Parietal: bilateral Level 2 porosity along sagittal suture, expanding to meet temporal lines on posterior portion. Occipital: Level 2 porosity across squama. Most active area of lesion near bregma.",scan 1x,yes,
266148,M,Older,"Extensive wear on observable teeth, plus loss of at least half maxillary dentition antemortem",2,2,"Frontal: level 2 porosity extending roughly an inch anterior of bregma and an inch on either side. (Level 2 porosity and vascular tracks in superior orbits)  Parietal: Level 2 porosity from coronal suture along sagittal suture, but avoiding the suture itself, and widening out to touch temporal line on posterior portion. Circular sample through right parietal eminence shows cross section without enlarged diploe or thinning ectocranium. Occipital: well healed level 2 porosity across squama.",scan 2x,yes,
267150,I,Older,extensive wear on present teeth; some suture closure,2,0,"Frontal: Porosity limited once again to an almost isosceles triangule, reaching 2 inches anterior from bregma, with its tip a level 1, grading into level 2 . Parietal: Level 2 porosity starting near bregma and following the sagittal suture back until weathering on the posterior of the skull makes it unobservable. Some larger vascular tracks. Occipital: unobservable",scan 1x,yes,
267171,I,Middle-Older,"dentin exposure in M2, whole pulp chamber exposed in M1s (M3s notobservable, possibly lost antemortem)",3,0,"Very well healed. Frontal: shadowy impressions of trabeculated porosity anterior to temporal lines and in midline triangle, with underlying bone of previously mentioned pillowy sclerotic quality. Parietal: shadows of trabeculated porosities from bregma along sagittal suture, with remaining level 2 porosity near occipital. Occipital: remnants of level 2 porosity across squama.",scan 1x,yes,osteoma on sagittal suture?
266562,M,Older,complete antemortem tooth loss,3,0,"Frontal: Level 1 porosity above superciliary arch. Well healed trabecular patterning/porosity down midline from glabella, roughly 2 inches long, 1 inch wide. Parietal: almost shadowy impressions of trabeculated porosity long gone along either side of sagittal suture, becoming more defined toward occipital. Occipital: level 2 porosity across squama",scan 2x,yes,
