cranium_id,2d_max_calvarial_width,2d_max_width_bone,2d_radial_diploe,2d_ectocranial_pitting,2d_calvarial_surface_discontinuity,2d_ph_notes,2d_orbital_marrow_width,2d_orbital_roof_discontinuity,3d_ph_visible,3d_ph_bone,Rinaldo_score_PH,3d_ph_notes,3d_co_visible,Rinaldo_score_CO,3d_co_notes,HFI,general_notes
266926,9,left parietal,0,0,0,"slight thinning of the ectocranial bone on the superior portion of the left parietal bone, but not definitive. Endocranial features that lok like trabecular bone apposition are notable, particularly on right parietal, though these may be dirt inclusions adhering to the skull. ",0.9,1,0,NA,0,,1,1,uncertain whether co is just due to scanning artifact of thin orbits,0,double check endocranial structure - might be consistent with HFI
267071,9.7,frontal,0,1,0,"ectocranial pitting over most of frontal squama, with thick cortical bone relative to underlying diploe. Very slight ectocranial pitting on parietals near bregma",1.3,0,1,"frontal, left parietal, right parietal, occipital",2,"ectocranial pitting clearly visible on occipital squama, which I didn't note in 2d views",0,0,,0,
267107,7.9,left parietal,0,1,0,"ectocranial pitting mainly on frontal bone and on parietals close to bregma, but very subtle",2.8,1,1,"frontal, left parietal, right parietal",1,all marks are quite faint and appear superficial (ectocranial pitting),0,0,,0,
267150,7.9,left parietal,0,1,1,"ectocranial pitting on superior frontal bone and both parietals along sagittal suture, with some surface discontinuity in parietals. Superficial horizontal striae visible in posterior parietals.",0.7,0,1,"frontal, left parietal, right parietal, occipital",2,"ectocranial pitting clearly visible on occipital squama, which I didn't note in 2d views",0,0,,0,
267171,9,frontal,0,0,0,none visible,1.5,0,1,"left parietal, right parietal, occipital",2,all marks are clearly not true porosity (don't extend into the diploe),0,0,,0,
267182,8.7,right parietal,0,1,1,signs of ph are particularly subtle,3.4,0,1,"frontal, left parietal, right parietal",1,,0,0,"scanning artifacts from thin orbital bone, but I don't believe there is any co",0,
267186,7.3,left parietal,0,0,0,no sign of changes consistent with PH,1.4,1,0,,0,,0,0,,0,
267197,6.7,left parietal,0,0,0,no sign of changes consistent with PH,1.8,1,0,,0,,0,0,,0,
267200,7,frontal,0,1,0,ectocranial pitting prominent  on frontal squama and present but subtle along sagittal suture of each parietal bone,2.6,1,1,"frontal, left parietal, right parietal",2,clearly visible on frontal bone anterior to bregma. Much more subtle on parietal bones along sagittal suture. ,0,0,,0,
267208,8,left parietal,0,0,0,"parietal bones have asymmetrical thickness - left parietal is notably thicker (2mm) than right, and has expanded diploic spaces but no thinning of the ectocranial table",0.8,0,0,,0,,0,0,,0,
267641,8.9,left parietal,1,1,0,radial diploic organization notable in frontal bone; slight ectocranial pitting on parietal bones,5.7,1,0,,0,"Some indentations are visible on the posterior parietal bones, but they don't seem related to porosity to me",0,0,,0,
268028,8.5,frontal,1,0,1,radial diploic organization in frontal and parietal bones; surface discontinuity in occipital squama,3.2,1,1,occipital,2,,1,1,,0,
